Sl,avg_data1
0,16787.0
1,16782.0
2,16761.0
3,16754.0
4,16762.0
5,16743.0
6,16723.0
7,16742.0
8,16727.0
9,16741.0
10,16747.0
11,16761.0
12,16747.0
13,16696.0
14,16701.0
15,16708.0
16,16693.0
17,16714.0
18,16683.0
19,16710.0
20,16704.0
21,16712.0
22,16675.0
23,16663.0
24,16644.0
25,16587.0
26,16622.0
27,16636.0
28,16633.0
29,16618.0
30,16620.0
31,16622.0
32,16627.0
33,16622.0
34,16630.0
35,16597.0
36,16576.0
37,16567.0
38,16559.0
39,16546.0
40,16543.0
41,16581.0
42,16588.0
43,16588.0
44,16581.0
45,16579.0
46,16559.0
47,16561.0
48,16573.0
49,16564.0
50,16553.0
51,16581.0
52,16554.0
53,16551.0
54,16547.0
55,16567.0
56,16580.0
57,16547.0
58,16571.0
59,16568.0
60,16560.0
61,16569.0
62,16587.0
63,16565.0
64,16570.0
65,16577.0
66,16600.0
67,16607.0
68,16624.0
69,16595.0
70,16598.0
71,16602.0
72,16595.0
73,16594.0
74,16587.0
75,16609.0
76,16609.0
77,16579.0
78,16588.0
79,16591.0
80,16586.0
81,16599.0
82,16599.0
83,16585.0
84,16603.0
85,16561.0
86,16586.0
87,16589.0
88,16605.0
89,16634.0
90,16625.0
91,16617.0
92,16621.0
93,16620.0
94,16612.0
95,16611.0
96,16606.0
97,16595.0
98,16601.0
99,16567.0
100,16569.0
101,16582.0
102,16609.0
103,16601.0
104,16619.0
105,16653.0
106,16604.0
107,16615.0
108,16621.0
109,16619.0
110,16603.0
111,16603.0
112,16589.0
113,16623.0
114,16582.0
115,16601.0
116,16583.0
117,16599.0
118,16615.0
119,16619.0
120,16614.0
121,16602.0
122,16594.0
123,16585.0
124,16572.0
125,16572.0
126,16556.0
127,16605.0
128,16587.0
129,16548.0
130,16601.0
131,16575.0
132,16599.0
133,16602.0
134,16552.0
135,16581.0
136,16559.0
137,16576.0
138,16598.0
139,16597.0
140,16606.0
141,16586.0
142,16606.0
143,16596.0
144,16609.0
145,16602.0
146,16645.0
147,16563.0
148,16555.0
149,16547.0
150,16541.0
151,16543.0
152,16575.0
153,16595.0
154,16597.0
155,16581.0
156,16575.0
157,16566.0
158,16557.0
159,16532.0
160,16523.0
161,16546.0
162,16553.0
163,16569.0
164,16604.0
165,16615.0
166,16615.0
167,16606.0
168,16610.0
169,16617.0
170,16604.0
171,16589.0
172,16573.0
173,16619.0
174,16620.0
175,16577.0
176,16590.0
177,16577.0
178,16588.0
179,16595.0
180,16611.0
181,16598.0
182,16631.0
183,16612.0
184,16605.0
185,16612.0
186,16619.0
187,16607.0
188,16603.0
189,16590.0
190,16622.0
191,16582.0
192,16561.0
193,16566.0
194,16573.0
195,16570.0
196,16586.0
197,16598.0
198,16596.0
199,16605.0
200,16580.0
201,16609.0
202,16621.0
203,16592.0
204,16580.0
205,16599.0
206,16578.0
207,16630.0
208,16621.0
209,16589.0
210,16616.0
211,16607.0
212,16625.0
213,16591.0
214,16592.0
215,16606.0
216,16606.0
217,16602.0
218,16593.0
219,16605.0
220,16598.0
221,16605.0
222,16598.0
223,16584.0
224,16613.0
225,16595.0
226,16565.0
227,16595.0
228,16625.0
229,16600.0
230,16611.0
231,16605.0
232,16621.0
233,16601.0
234,16608.0
235,16594.0
236,16611.0
237,16600.0
238,16607.0
239,16595.0
240,16610.0
241,16580.0
242,16611.0
243,16607.0
244,16634.0
245,16637.0
246,16636.0
247,16630.0
248,16619.0
249,16633.0
250,16616.0
251,16634.0
252,16626.0
253,16646.0
254,16632.0
255,16646.0
256,16610.0
257,16639.0
258,16634.0
259,16631.0
260,16624.0
261,16624.0
262,16633.0
263,16648.0
264,16623.0
265,16593.0
266,16586.0
267,16573.0
268,16535.0
269,16559.0
270,16574.0
271,16568.0
272,16588.0
273,16590.0
274,16570.0
275,16562.0
276,16571.0
277,16562.0
278,12283.0
